Disaster Type,Country,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Storm,Japan,Asia,2023,2023,3,35,,35,,
Storm,Philippines,Asia,2023,2023,1,1,30500,30501,,
Storm,Taiwan (Province of China),Asia,2023,2023,1,,,,,
Mass movement (wet),Pakistan,Asia,2023,2023,11,25,,25,,
Flood,Croatia,Europe,2023,2023,,,177,177,,
Flood,Bosnia and Herzegovina,Europe,2023,2023,,,10000,10000,,
Earthquake,France,Europe,2023,2023,,2,750,752,445000,445000
Storm,United States of America,Americas,2023,2023,5,135,60,195,3800000,3800000
Flood,Brazil,Americas,2023,2023,17,,11100,11100,205000,205000
Flood,Nepal,Asia,2023,2023,36,6,1500,1506,,
Extreme temperature,India,Asia,2023,2023,179,460,,460,,
Extreme temperature,Pakistan,Asia,2023,2023,22,,,,,
Flood,India,Asia,2023,2023,,,500000,500000,,
Storm,India,Asia,2023,2023,7,,10000,10000,,
Storm,Pakistan,Asia,2023,2023,1,,,,,
Storm,United States of America,Americas,2023,2023,3,12,600,612,4100000,4100000
Wildfire,Kazakhstan,Asia,2023,2023,14,,300,300,,
Flood,Cuba,Americas,2023,2023,6,,18500,18500,,
Flood,Haiti,Americas,2023,2023,78,143,225000,225143,420000,420000
Flood,China,Asia,2023,2023,25,,,,,
Flood,Ecuador,Americas,2023,2023,,,14186,14186,,
Storm,South Africa,Africa,2023,2023,5,,,150,,
Storm,Iran (Islamic Republic of),Asia,2023,2023,,1050,,1050,,
Flood,Pakistan,Asia,2023,2023,33,48,150,198,,
Volcanic activity,Philippines,Asia,2023,2023,,628,38396,39024,,
Mass movement (wet),China,Asia,2023,2023,7,,900,900,,
Flood,India,Asia,2023,2023,62,,5,5,3000,3000
Storm,Barbados,Americas,2023,2023,,,179,179,,
Storm,Saint Vincent and the Grenadines,Americas,2023,2023,,,150,150,,
Flood,Chile,Americas,2023,2023,4,,21673,21673,765000,765000
Extreme temperature,United States of America,Americas,2023,2023,14,,,,,
Flood,Guatemala,Americas,2023,2023,78,5,4400000,4400005,,
Storm,Indonesia,Asia,2023,2023,,7,330,337,,
Flood,Ghana,Africa,2023,2023,8,,250,250,,
Storm,United States of America,Americas,2023,2023,8,100,,100,5300000,5300000
Earthquake,Indonesia,Asia,2023,2023,1,10,1110,1120,,
Flood,Yemen,Asia,2023,2023,248,183,308000,308183,,
Epidemic,Peru,Americas,2023,2023,176,110000,,110000,,
Flood,Dominican Republic,Americas,2023,2023,1,,289083,289083,,
Flood,Venezuela (Bolivarian Republic of),Americas,2023,2023,12,,112,112,,
Flood,Serbia,Europe,2023,2023,,,15432,15432,,
Storm,Armenia,Asia,2023,2023,,,18000,18000,,
Flood,Georgia,Asia,2023,2023,,,350000,350000,,
Flood,Argentina,Americas,2023,2023,,,38000,38000,,
Storm,Gabon,Africa,2023,2023,,,3000,3000,,
Flood,Japan,Asia,2023,2023,6,18,4200,4218,,
Flood,China,Asia,2023,2023,21,,95000,109000,,
Flood,Thailand,Asia,2023,2023,,,7650,7650,,
Epidemic,Nepal,Asia,2023,2023,,600,,600,,
Flood,United States of America,Americas,2023,2023,10,,,,2200000,2200000
Flood,India,Asia,2023,2023,1529,,10250000,10250000,,
Flood,Pakistan,Asia,2023,2023,217,320,28855,29175,,
Flood,Brazil,Americas,2023,2023,14,,20000,20000,,
Flood,Mongolia,Asia,2023,2023,,,288738,288738,,
Storm,Sri Lanka,Asia,2023,2023,,,6631,6631,,
Flood,Indonesia,Asia,2023,2023,6,7,510,517,,
Extreme temperature,Albania,Europe,2023,2023,363,,,,,
Extreme temperature,Austria,Europe,2023,2023,486,,,,,
Extreme temperature,Belgium,Europe,2023,2023,324,,,,,
Extreme temperature,Bulgaria,Europe,2023,2023,1670,,,,,
Extreme temperature,Switzerland,Europe,2023,2023,294,,,,,
Extreme temperature,Cyprus,Asia,2023,2023,151,,,,,
Extreme temperature,Czechia,Europe,2023,2023,361,,,,,
Extreme temperature,Germany,Europe,2023,2023,6376,,,,,
Extreme temperature,Denmark,Europe,2023,2023,189,,,,,
Extreme temperature,Spain,Europe,2023,2023,8352,,,,,
Extreme temperature,Estonia,Europe,2023,2023,103,,,,,
Extreme temperature,Finland,Europe,2023,2023,138,,,,,
Extreme temperature,France,Europe,2023,2023,2734,,,,,
Extreme temperature,United Kingdom of Great Britain and Northern Ireland,Europe,2023,2023,1851,,,,,
Extreme temperature,Greece,Europe,2023,2023,4339,,,,,
Extreme temperature,Croatia,Europe,2023,2023,561,,,,,
Extreme temperature,Hungary,Europe,2023,2023,294,,,,,
Extreme temperature,Ireland,Europe,2023,2023,60,,,,,
Extreme temperature,Iceland,Europe,2023,2023,,,,,,
Extreme temperature,Italy,Europe,2023,2023,12743,,,,,
Extreme temperature,Liechtenstein,Europe,2023,2023,1,,,,,
Extreme temperature,Lithuania,Europe,2023,2023,247,,,,,
Extreme temperature,Luxembourg,Europe,2023,2023,33,,,,,
Extreme temperature,Latvia,Europe,2023,2023,58,,,,,
Extreme temperature,Malta,Europe,2023,2023,70,,,,,
Extreme temperature,Montenegro,Europe,2023,2023,41,,,,,
Extreme temperature,Netherlands (Kingdom of the),Europe,2023,2023,368,,,,,
Extreme temperature,Norway,Europe,2023,2023,29,,,,,
Extreme temperature,Poland,Europe,2023,2023,616,,,,,
Extreme temperature,Portugal,Europe,2023,2023,1432,,,,,
Extreme temperature,Romania,Europe,2023,2023,2585,,,,,
Extreme temperature,Serbia,Europe,2023,2023,464,,,,,
Extreme temperature,Slovakia,Europe,2023,2023,247,,,,,
Extreme temperature,Slovenia,Europe,2023,2023,95,,,,,
Extreme temperature,Sweden,Europe,2023,2023,13,,,,,
Flood,Republic of Korea,Asia,2023,2023,58,34,10500,10534,,
Wildfire,Greece,Europe,2023,2023,3,11,19000,19011,,
Storm,Philippines,Asia,2023,2023,2,,450,450,,
Storm,Viet Nam,Asia,2023,2023,1,3,,3,,
Mass movement (wet),Colombia,Americas,2023,2023,29,6,,106,,
Flood,Niger,Africa,2023,2023,41,53,169598,169651,,
Storm,Italy,Europe,2023,2023,,110,,110,,
Mass movement (wet),India,Asia,2023,2023,28,,,200,,
Storm,Bosnia and Herzegovina,Europe,2023,2023,1,20,,20,,
Storm,Croatia,Europe,2023,2023,1,100,6000,6100,,
Storm,Serbia,Europe,2023,2023,,,20,20,,
Storm,Slovakia,Europe,2023,2023,,,,,,
Storm,Slovenia,Europe,2023,2023,1,3,3000,3003,,
Flood,Afghanistan,Asia,2023,2023,67,24,126000,126024,,
Flood,Pakistan,Asia,2023,2023,13,,,,,
Storm,China,Asia,2023,2023,56,39,880000,880039,25000000,25000000
