Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Meteorological,Storm,Tropical cyclone,Peru,Latin America and the Caribbean,Americas,2023,2023,8,,45000,45000,705000,705000
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,2023,2023,1,12,,12,2950000,2950000
Meteorological,Storm,Lightning/Thunderstorms,Cambodia,South-eastern Asia,Asia,2023,2023,,,14100,14100,,
Hydrological,Flood,Flood (General),Ukraine,Eastern Europe,Europe,2023,2023,,,2850,2850,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,2023,2023,,,136149,136149,222,222
Hydrological,Flood,Flood (General),Angola,Sub-Saharan Africa,Africa,2023,2023,54,450,44000,44450,,
Meteorological,Storm,Tornado,Myanmar,South-eastern Asia,Asia,2023,2023,8,130,,1280,,
Meteorological,Storm,Tornado,Türkiye,Western Asia,Asia,2023,2023,1,50,504,554,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,2023,2023,,,,,1300000,1300000
Meteorological,Storm,Storm (General),Bangladesh,Southern Asia,Asia,2023,2023,10,,,,,
Meteorological,Storm,Lightning/Thunderstorms,Thailand,South-eastern Asia,Asia,2023,2023,,,22200,22200,,
Meteorological,Storm,Lightning/Thunderstorms,Sri Lanka,Southern Asia,Asia,2023,2023,,,910,910,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,,,9348,9348,,
Hydrological,Flood,Flash flood,Kenya,Sub-Saharan Africa,Africa,2023,2023,,,22500,22500,,
Hydrological,Flood,Flood (General),Uganda,Sub-Saharan Africa,Africa,2023,2023,23,16,1000,1016,,
Hydrological,Flood,Flood (General),Viet Nam,South-eastern Asia,Asia,2023,2023,,,6540,6540,,
Hydrological,Flood,Flash flood,Pakistan,Southern Asia,Asia,2023,2023,12,3,,3,,
Hydrological,Flood,Flood (General),Rwanda,Sub-Saharan Africa,Africa,2023,2023,131,77,51905,51982,,
Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,2023,2023,,10,8400,8410,30000,30000
Hydrological,Flood,Flood (General),Italy,Southern Europe,Europe,2023,2023,2,,500,500,,
Hydrological,Flood,Flood (General),Canada,Northern America,Americas,2023,2023,2,,1000,1000,,
Geophysical,Earthquake,Ground movement,Japan,Eastern Asia,Asia,2023,2023,1,43,2157,2254,,
Climatological,Wildfire,Forest fire,Canada,Northern America,Americas,2023,2023,2,,30000,30000,200000,200000
Hydrological,Flood,Flash flood,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,2023,2023,2830,220,50000,50220,10000,10000
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,2023,2023,,,530000,530000,95000,95000
Geophysical,Volcanic activity,Ash fall,Guatemala,Latin America and the Caribbean,Americas,2023,2023,,,1054,1054,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,2023,2023,1,,,,2200000,2200000
Climatological,Wildfire,Forest fire,Russian Federation,Eastern Europe,Europe,2023,2023,21,,15000,15000,50000,50000
Meteorological,Storm,Storm (General),Sierra Leone,Sub-Saharan Africa,Africa,2023,2023,15,17,,17,,
Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,Asia,2023,2023,4,25,1500,1525,,
Hydrological,Flood,Flood (General),Czechia,Eastern Europe,Europe,2023,2023,,,,,,
Hydrological,Flood,Flood (General),Italy,Southern Europe,Europe,2023,2023,15,,46000,46000,9750000,9750000
Meteorological,Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,2023,2023,3,12,750000,750012,1000,1000
Meteorological,Storm,Tropical cyclone,India,Southern Asia,Asia,2023,2023,,,1000,1000,,
Meteorological,Storm,Tropical cyclone,Myanmar,South-eastern Asia,Asia,2023,2023,148,132,1200000,1200132,2240000,2240000
Hydrological,Flood,Flash flood,Somalia,Sub-Saharan Africa,Africa,2023,2023,22,,468000,468000,,
Meteorological,Extreme temperature,Cold wave,Mongolia,Eastern Asia,Asia,2023,2023,2,,5100,5100,,
Meteorological,Storm,Tropical cyclone,Guam,Micronesia,Oceania,2023,2023,2,,100000,100000,4300000,4300000
Meteorological,Storm,Tropical cyclone,Japan,Eastern Asia,Asia,2023,2023,3,35,,35,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,2023,2023,1,1,30500,30501,,
Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,Asia,2023,2023,1,,,,,
Hydrological,Mass movement (wet),Avalanche (wet),Pakistan,Southern Asia,Asia,2023,2023,11,25,,25,,
Hydrological,Flood,Flood (General),Croatia,Southern Europe,Europe,2023,2023,,,177,177,,
Hydrological,Flood,Flood (General),Bosnia and Herzegovina,Southern Europe,Europe,2023,2023,,,10000,10000,,
Geophysical,Earthquake,Ground movement,France,Western Europe,Europe,2023,2023,,2,750,752,445000,445000
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,2023,2023,5,135,60,195,3800000,3800000
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,17,,11100,11100,205000,205000
Hydrological,Flood,Flood (General),Nepal,Southern Asia,Asia,2023,2023,36,6,1500,1506,,
Meteorological,Extreme temperature,Heat wave,India,Southern Asia,Asia,2023,2023,179,460,,460,,
Meteorological,Extreme temperature,Heat wave,Pakistan,Southern Asia,Asia,2023,2023,22,,,,,
Hydrological,Flood,Flood (General),India,Southern Asia,Asia,2023,2023,,,500000,500000,,
Meteorological,Storm,Tropical cyclone,India,Southern Asia,Asia,2023,2023,7,,10000,10000,,
Meteorological,Storm,Tropical cyclone,Pakistan,Southern Asia,Asia,2023,2023,1,,,,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,2023,2023,3,12,600,612,4100000,4100000
Climatological,Wildfire,Wildfire (General),Kazakhstan,Central Asia,Asia,2023,2023,14,,300,300,,
Hydrological,Flood,Flood (General),Cuba,Latin America and the Caribbean,Americas,2023,2023,6,,18500,18500,,
Hydrological,Flood,Flood (General),Haiti,Latin America and the Caribbean,Americas,2023,2023,78,143,225000,225143,420000,420000
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,2023,2023,25,,,,,
Hydrological,Flood,Flood (General),Ecuador,Latin America and the Caribbean,Americas,2023,2023,,,14186,14186,,
Meteorological,Storm,Severe weather,South Africa,Sub-Saharan Africa,Africa,2023,2023,5,,,150,,
Meteorological,Storm,Sand/Dust storm,Iran (Islamic Republic of),Southern Asia,Asia,2023,2023,,1050,,1050,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,2023,2023,33,48,150,198,,
Geophysical,Volcanic activity,Lava flow,Philippines,South-eastern Asia,Asia,2023,2023,,628,38396,39024,,
Hydrological,Mass movement (wet),Landslide (wet),China,Eastern Asia,Asia,2023,2023,7,,900,900,,
Hydrological,Flood,Flash flood,India,Southern Asia,Asia,2023,2023,62,,5,5,3000,3000
Meteorological,Storm,Tropical cyclone,Barbados,Latin America and the Caribbean,Americas,2023,2023,,,179,179,,
Meteorological,Storm,Tropical cyclone,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2023,2023,,,150,150,,
Hydrological,Flood,Flood (General),Chile,Latin America and the Caribbean,Americas,2023,2023,4,,21673,21673,765000,765000
Meteorological,Extreme temperature,Heat wave,United States of America,Northern America,Americas,2023,2023,14,,,,,
Hydrological,Flood,Flood (General),Guatemala,Latin America and the Caribbean,Americas,2023,2023,78,5,4400000,4400005,,
Meteorological,Storm,Severe weather,Indonesia,South-eastern Asia,Asia,2023,2023,,7,330,337,,
Hydrological,Flood,Flood (General),Ghana,Sub-Saharan Africa,Africa,2023,2023,8,,250,250,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,2023,2023,8,100,,100,5300000,5300000
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,2023,2023,1,10,1110,1120,,
Hydrological,Flood,Flood (General),Yemen,Western Asia,Asia,2023,2023,248,183,308000,308183,,
Biological,Epidemic,Viral disease,Peru,Latin America and the Caribbean,Americas,2023,2023,176,110000,,110000,,
Hydrological,Flood,Flood (General),Dominican Republic,Latin America and the Caribbean,Americas,2023,2023,1,,289083,289083,,
Hydrological,Flood,Flood (General),Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2023,2023,12,,112,112,,
Hydrological,Flood,Flood (General),Serbia,Southern Europe,Europe,2023,2023,,,15432,15432,,
Meteorological,Storm,Hail,Armenia,Western Asia,Asia,2023,2023,,,18000,18000,,
Hydrological,Flood,Flash flood,Georgia,Western Asia,Asia,2023,2023,,,350000,350000,,
Hydrological,Flood,Flood (General),Argentina,Latin America and the Caribbean,Americas,2023,2023,,,38000,38000,,
Meteorological,Storm,Storm (General),Gabon,Sub-Saharan Africa,Africa,2023,2023,,,3000,3000,,
Hydrological,Flood,Flash flood,Japan,Eastern Asia,Asia,2023,2023,6,18,4200,4218,,
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,2023,2023,21,,95000,109000,,
Hydrological,Flood,Flood (General),Thailand,South-eastern Asia,Asia,2023,2023,,,7650,7650,,
Biological,Epidemic,Viral disease,Nepal,Southern Asia,Asia,2023,2023,,600,,600,,
Hydrological,Flood,Flood (General),United States of America,Northern America,Americas,2023,2023,10,,,,2200000,2200000
Hydrological,Flood,Flood (General),India,Southern Asia,Asia,2023,2023,1529,,10250000,10250000,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,2023,2023,217,320,28855,29175,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,2023,2023,14,,20000,20000,,
Hydrological,Flood,Flood (General),Mongolia,Eastern Asia,Asia,2023,2023,,,288738,288738,,
Meteorological,Storm,Storm (General),Sri Lanka,Southern Asia,Asia,2023,2023,,,6631,6631,,
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,2023,2023,6,7,510,517,,
Meteorological,Extreme temperature,Heat wave,Albania,Southern Europe,Europe,2023,2023,363,,,,,
Meteorological,Extreme temperature,Heat wave,Austria,Western Europe,Europe,2023,2023,486,,,,,
Meteorological,Extreme temperature,Heat wave,Belgium,Western Europe,Europe,2023,2023,324,,,,,
Meteorological,Extreme temperature,Heat wave,Bulgaria,Eastern Europe,Europe,2023,2023,1670,,,,,
Meteorological,Extreme temperature,Heat wave,Switzerland,Western Europe,Europe,2023,2023,294,,,,,
Meteorological,Extreme temperature,Heat wave,Cyprus,Western Asia,Asia,2023,2023,151,,,,,
Meteorological,Extreme temperature,Heat wave,Czechia,Eastern Europe,Europe,2023,2023,361,,,,,
Meteorological,Extreme temperature,Heat wave,Germany,Western Europe,Europe,2023,2023,6376,,,,,
Meteorological,Extreme temperature,Heat wave,Denmark,Northern Europe,Europe,2023,2023,189,,,,,
Meteorological,Extreme temperature,Heat wave,Spain,Southern Europe,Europe,2023,2023,8352,,,,,
Meteorological,Extreme temperature,Heat wave,Estonia,Northern Europe,Europe,2023,2023,103,,,,,
Meteorological,Extreme temperature,Heat wave,Finland,Northern Europe,Europe,2023,2023,138,,,,,
Meteorological,Extreme temperature,Heat wave,France,Western Europe,Europe,2023,2023,2734,,,,,
Meteorological,Extreme temperature,Heat wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2023,2023,1851,,,,,
Meteorological,Extreme temperature,Heat wave,Greece,Southern Europe,Europe,2023,2023,4339,,,,,
Meteorological,Extreme temperature,Heat wave,Croatia,Southern Europe,Europe,2023,2023,561,,,,,
Meteorological,Extreme temperature,Heat wave,Hungary,Eastern Europe,Europe,2023,2023,294,,,,,
Meteorological,Extreme temperature,Heat wave,Ireland,Northern Europe,Europe,2023,2023,60,,,,,
Meteorological,Extreme temperature,Heat wave,Iceland,Northern Europe,Europe,2023,2023,,,,,,
Meteorological,Extreme temperature,Heat wave,Italy,Southern Europe,Europe,2023,2023,12743,,,,,
Meteorological,Extreme temperature,Heat wave,Liechtenstein,Western Europe,Europe,2023,2023,1,,,,,
Meteorological,Extreme temperature,Heat wave,Lithuania,Northern Europe,Europe,2023,2023,247,,,,,
Meteorological,Extreme temperature,Heat wave,Luxembourg,Western Europe,Europe,2023,2023,33,,,,,
Meteorological,Extreme temperature,Heat wave,Latvia,Northern Europe,Europe,2023,2023,58,,,,,
Meteorological,Extreme temperature,Heat wave,Malta,Southern Europe,Europe,2023,2023,70,,,,,
Meteorological,Extreme temperature,Heat wave,Montenegro,Southern Europe,Europe,2023,2023,41,,,,,
Meteorological,Extreme temperature,Heat wave,Netherlands (Kingdom of the),Western Europe,Europe,2023,2023,368,,,,,
Meteorological,Extreme temperature,Heat wave,Norway,Northern Europe,Europe,2023,2023,29,,,,,
Meteorological,Extreme temperature,Heat wave,Poland,Eastern Europe,Europe,2023,2023,616,,,,,
Meteorological,Extreme temperature,Heat wave,Portugal,Southern Europe,Europe,2023,2023,1432,,,,,
Meteorological,Extreme temperature,Heat wave,Romania,Eastern Europe,Europe,2023,2023,2585,,,,,
Meteorological,Extreme temperature,Heat wave,Serbia,Southern Europe,Europe,2023,2023,464,,,,,
Meteorological,Extreme temperature,Heat wave,Slovakia,Eastern Europe,Europe,2023,2023,247,,,,,
Meteorological,Extreme temperature,Heat wave,Slovenia,Southern Europe,Europe,2023,2023,95,,,,,
Meteorological,Extreme temperature,Heat wave,Sweden,Northern Europe,Europe,2023,2023,13,,,,,
Hydrological,Flood,Flood (General),Republic of Korea,Eastern Asia,Asia,2023,2023,58,34,10500,10534,,
Climatological,Wildfire,Forest fire,Greece,Southern Europe,Europe,2023,2023,3,11,19000,19011,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,2023,2023,2,,450,450,,
Meteorological,Storm,Tropical cyclone,Viet Nam,South-eastern Asia,Asia,2023,2023,1,3,,3,,
Hydrological,Mass movement (wet),Landslide (wet),Colombia,Latin America and the Caribbean,Americas,2023,2023,29,6,,106,,
Hydrological,Flood,Flood (General),Niger,Sub-Saharan Africa,Africa,2023,2023,41,53,169598,169651,,
Meteorological,Storm,Hail,Italy,Southern Europe,Europe,2023,2023,,110,,110,,
Hydrological,Mass movement (wet),Landslide (wet),India,Southern Asia,Asia,2023,2023,28,,,200,,
Meteorological,Storm,Storm (General),Bosnia and Herzegovina,Southern Europe,Europe,2023,2023,1,20,,20,,
Meteorological,Storm,Storm (General),Croatia,Southern Europe,Europe,2023,2023,1,100,6000,6100,,
Meteorological,Storm,Storm (General),Serbia,Southern Europe,Europe,2023,2023,,,20,20,,
Meteorological,Storm,Storm (General),Slovakia,Eastern Europe,Europe,2023,2023,,,,,,
Meteorological,Storm,Storm (General),Slovenia,Southern Europe,Europe,2023,2023,1,3,3000,3003,,
Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,Asia,2023,2023,67,24,126000,126024,,
Hydrological,Flood,Flash flood,Pakistan,Southern Asia,Asia,2023,2023,13,,,,,
Meteorological,Storm,Tropical cyclone,China,Eastern Asia,Asia,2023,2023,56,39,880000,880039,25000000,25000000
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,2023,2023,39,171,5385066,5385237,284256,284256
Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,Asia,2023,2023,1,68,,68,10000,10000
Hydrological,Flood,Flood (General),Canada,Northern America,Americas,2023,2023,4,,450,450,,
Meteorological,Storm,Severe weather,Switzerland,Western Europe,Europe,2023,2023,2,40,15000,15040,,
Meteorological,Storm,Severe weather,Germany,Western Europe,Europe,2023,2023,1,,,,,
Meteorological,Storm,Severe weather,Italy,Southern Europe,Europe,2023,2023,2,,,,100000,100000
Meteorological,Storm,Severe weather,Romania,Eastern Europe,Europe,2023,2023,2,,,,,
Meteorological,Storm,Severe weather,Serbia,Southern Europe,Europe,2023,2023,1,,,,,
Climatological,Wildfire,Wildfire (General),Algeria,Northern Africa,Africa,2023,2023,34,26,30000,30026,,
Biological,Epidemic,Viral disease,Bangladesh,Southern Asia,Asia,2023,2023,127,,,,,
