Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Meteorological,Storm,Tropical cyclone,Dominican Republic,Latin America and the Caribbean,Americas,"Barahona,Azua, Bahoruco, Elias Pina, Independencia",,80,Kph,2023,2023,3,,289083,289083,,
Biological,Epidemic,Bacterial disease,Congo,Sub-Saharan Africa,Africa,"Bouenza, Kouilou, Niari, Pointe-Noire, Dolisie, Bazzaville",,,,2023,2023,52,1752,84240,85992,,
Meteorological,Storm,Tropical cyclone,Cuba,Latin America and the Caribbean,Americas,"Pinar del Rio, Artemisa, and Havana provinces",,,Kph,2023,2023,,,,,,
Meteorological,Storm,Tropical cyclone,United States of America,Northern America,Americas,"Tampa, St. Petersburg, Sarasota, Tarpon Springs, Fort Myers Naples (Florida); Brooks and Lowndes Counties (Georgia); Mt. Pleasant, Edisto Beach, and Folly Beach (South Carolina); Whiteville, Wilmington, Outer Banks (North Carolina)",,150,Kph,2023,2023,5,,,,3500000,3500000
Meteorological,Storm,Tropical cyclone,China,Eastern Asia,Asia,Shenzhen City (Guangdong Province),,,Kph,2023,2023,1,2,,2,690000,690000
Meteorological,Storm,Tropical cyclone,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,,Kph,2023,2023,,86,,86,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,,,,Kph,2023,2023,4,3,900000,900003,33000,33000
Hydrological,Flood,Flood (General),Tajikistan,Central Asia,Asia,"Vakhdat, Varzob Roudaki districts (Douchanbe)",Heavy rains,,Km2,2023,2023,21,,,,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,"Punjab, Sindh, and Balochistan",Heavy rains,,Km2,2023,2023,6,101,89500,89601,,
Biological,Epidemic,Viral disease,Kyrgyzstan,Central Asia,Asia,"Bishkek City, Chuy, Osh, Osh City, Jala-Abad, Batken, Talas, Issyk-Kul, Naryn",,,Vaccinated,2023,2023,,3618,,3618,,
Hydrological,Flood,Flood (General),Guinea,Sub-Saharan Africa,Africa,"Kindia, Coyah, Conakry and Siguiri,",Torrential rains,,Km2,2023,2023,8,937,24135,25072,,
Hydrological,Flood,Flood (General),Mauritania,Sub-Saharan Africa,Africa,Brakna,Heavy rains,,Km2,2023,2023,1,,7200,7200,,
Hydrological,Flood,Flood (General),Algeria,Northern Africa,Africa,Bab Al-Assa Municipality (Tlemcen); El Haoudh Village (El Bayadh Province),Heavy Rains,,Km2,2023,2023,8,218,1450,1668,,
Hydrological,Flood,Flood (General),Spain,Southern Europe,Europe,"Catalonia, Valencia, Andalusia, Aragón, Madrid Community and Castilla-La Mancha Regions",Heavy rains,,Km2,2023,2023,3,,6000,6000,370000,370000
Hydrological,Flood,Flood (General),Bulgaria,Eastern Europe,Europe,Tsarevo Municipality (Burgas Province),,,Km2,2023,2023,4,,4000,4000,,
Hydrological,Flood,Flood (General),Greece,Southern Europe,Europe,"Volos City, Pelion, Karditsa, Astritsa and Domokos-near Lamia,Thessaly; Central Greece, Central Macedonia, Peloponnese and Attica Regions",Storm 'Daniel',,Km2,2023,2023,17,,5260,5260,,
Hydrological,Flood,Flood (General),Türkiye,Western Asia,Asia,"Istanbul City, Kirklareli Province",Storm 'Daniel',,Km2,2023,2023,8,31,,31,,
Geophysical,Earthquake,Ground movement,Morocco,Northern Africa,Africa,"Al Haouz and Taroudant Provinces; Marrakech; Ouarzazate, Azilal, Chichaoua",,6.8,Moment Magnitude,2023,2023,2946,5674,840000,845674,7000000,7000000
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,"Asahan Regency (North Sumatra Province); Teluk Dalam, Simpang Empat and Meranti Districts.",Heavy rains,,Km2,2023,2023,,,14500,14500,,
Meteorological,Storm,Tropical cyclone,Argentina,Latin America and the Caribbean,Americas,Gobernador Virasoro and Ituzaingo (Posadas municipality),,,Kph,2023,2023,,,6000,6000,,
Meteorological,Storm,Tropical cyclone,Brazil,Latin America and the Caribbean,Americas,"Muçum, Roca Sales and Cruzeiro do Sul Municipalities (Rio Grande do Sul State)",,,Kph,2023,2023,46,924,341000,341924,705000,705000
Meteorological,Storm,Lightning/Thunderstorms,India,Southern Asia,Asia,"Khurda, Balangir, Angul, Boudh, Dhenkanal, Gajapati, Jagatsinghpur, and Puri (Odisha State)",,,Kph,2023,2023,12,14,1060,1074,,
Meteorological,Storm,Tropical cyclone,Japan,Eastern Asia,Asia,"Central Honshu Island, west of the Greater Tokyo area; Ibaraki, Chiba and Fukushima Prefectures",,,Kph,2023,2023,3,,3600,3600,,
Meteorological,Storm,Storm (General),Libya,Northern Africa,Africa,"Benghazi, Tobruk, Toukra, Talmeitha, Almarj, Taknes (Al Jabal Al Akhdar), Al Owailia, Bayada, Albayda, Shahhat, Sousa and Derna",,,Kph,2023,2023,12352,,1600000,1600000,6200000,6200000
