Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flood (General),Ethiopia,Sub-Saharan Africa,Africa,Dhawa Zone (Somali Region); Oromia and Afar Regions,Heavy rains,,Km2,2023,2023,91,,240000,240000,,
Hydrological,Flood,Flood (General),Kenya,Sub-Saharan Africa,Africa,"Mombasa, Kwale, Tana River, Taita-Taveta, Garissa, Wajir, Mandera, Marsabit, Isiolo, Turkana, West Pokot, Narok, Kajiado, Busia, Siaya, Kisumu, Homa Bay, Migori",Heavy rains,,Km2,2023,2023,36,29,139135,139164,,
Geophysical,Earthquake,Ground movement,Papua New Guinea,Melanesia,Oceania,East Sepik Province,,7,Moment Magnitude,2023,2023,8,11,13635,16274,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,"Memphis (Tennessee); Owen and Sullivan counties (Indiana); Arkansas, Mississippi, Alabama, Illinois; Sussex county (Delaware); Oklahoma, Iowa, Kentucky, Ohio, Missouri, Kansas; Pennsylvania",,,Kph,2023,2023,31,200,5544,6479,5500000,5500000
Hydrological,Mass movement (wet),Landslide (wet),Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Bulwa (Masisi, Nord-Kivu)",Heavy rains,,,2023,2023,19,,,,,
Hydrological,Flood,Flood (General),Colombia,Latin America and the Caribbean,Americas,"Suarez, Caloto, La Vega, Jambaló and Santander de Quilichao muncipalities (Cauca)",Heavy rains,,Km2,2023,2023,1,,4500,4500,,
Biological,Epidemic,Bacterial disease,Somalia,Sub-Saharan Africa,Africa,"Kismayo, Belethawo, Afgoye, Afmadow",,,,2023,2023,14,3428,,3428,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Aratuba, Guaramiranga, Itapipoca, Missão Velha, Uruburetama, Altaneira, Antonina do Norte and Itapaje (Ceará state)",Heavy rains,,Km2,2023,2023,6,26,3693,3719,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,Maranhão,Heavy rains,,Km2,2023,2023,5,,1152,1152,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,"Bollinger County (Missouri); Illinois, Kentucky, Iowa, Indiana, Ohio, Michigan",,,Kph,2023,2023,5,5,225,266,2900000,2900000
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,"Peshawar, South Waziristan, Tank, Khyber, Lower Kohistan, Mardan, Hangu, Orakza, Bajaur (Khyber Pakhtunkhwa Province)Orakzai, Peshawar, Tank and ",Heavy rains,,Km2,2023,2023,14,27,750,777,,
Hydrological,Flood,Flood (General),Belarus,Eastern Europe,Europe,"Vitebsk, Gomel, Minsk; Grodno and Mogilev regions",Heavy rainfall and snowmelt,,Km2,2023,2023,,,420,420,,
Hydrological,Flood,Flood (General),Latvia,Northern Europe,Europe,Upper Daugava and Augšdaugava regions,Heavy rainfall and snowmelt,,Km2,2023,2023,,,200,200,,
Meteorological,Storm,Tornado,New Zealand,Australia and New Zealand,Oceania,"Mapua Town, Nelson City (Tasman District); Auckland City",,,Kph,2023,2023,,,303,303,,
Climatological,Wildfire,Wildfire (General),Republic of Korea,Eastern Asia,Asia,Gangneung (Gangwon-do Province),,,Km2,2023,2023,1,,500,500,,
Hydrological,Flood,Flood (General),Peru,Latin America and the Caribbean,Americas,"Piura, Lambayeque, Huancavelica, Lima, La Libertad DepartmentS",Heavy rains,,Km2,2023,2023,25,,124326,124326,305000,305000
Hydrological,Flood,Flood (General),Burundi,Sub-Saharan Africa,Africa,"Bujumbura, Bujumbura Marie, Cibitoke and Muyinga Provinces",Heavy rains,,Km2,2023,2023,14,13,226,239,,
Hydrological,Flood,Flash flood,United States of America,Northern America,Americas,"Pembroke Pines, Dania Beach and Fort Lauderdale (Broward County, Hollywood, Florida)",Heavy rains,,Km2,2023,2023,,,2000,2000,1100000,1100000
Hydrological,Flood,Flood (General),United Republic of Tanzania,Sub-Saharan Africa,Africa,Sumbawanga District (eastern Rukwa Region); Mara and Mtwara regions,Heavy rains,,Km2,2023,2023,13,,,24,,
Hydrological,Mass movement (wet),Landslide (wet),Indonesia,South-eastern Asia,Asia,"Parigi Moutong Regency (Central Sulawesi); Purwakarta Regency, Western Jawa",Heavy rains,,,2023,2023,5,,130,130,,
Meteorological,Storm,Sand/Dust storm,Iran (Islamic Republic of),Southern Asia,Asia,"Bukan (West Azerbaijan Province); Mehran (Ilam Province); Alamut (Qazvin Province); Kermanshah, Ilam, Qazvin and Lorestan",,,Kph,2023,2023,3,,400,400,,
Meteorological,Storm,Sand/Dust storm,Iraq,Western Asia,Asia,"Babil, Kirkuk, Sulaymaniyah and Erbil",,,Kph,2023,2023,3,,,,,
Meteorological,Storm,Severe weather,Brazil,Latin America and the Caribbean,Americas,"Guaíba, Serrinha, Porto Alegre, Lagoa dos Patos, Barra do Ribeiro cities (Rio Grande do Sul State)",Heavy rains,,Kph,2023,2023,,,750,1050,,
Meteorological,Extreme temperature,Heat wave,India,Southern Asia,Asia,Maharashtra state,,38,°C,2023,2023,11,330,,330,,
Hydrological,Flood,Flood (General),United Republic of Tanzania,Sub-Saharan Africa,Africa,"Tangazo, Mahurunga regions (Mtwara district)",Heavy rains,,Km2,2023,2023,,,1976,1976,,
Geophysical,Earthquake,Ground movement,Tajikistan,Central Asia,Asia,Sughd province,,4.8,Moment Magnitude,2023,2023,,3,2202,2205,,
Meteorological,Storm,Tropical cyclone,Peru,Latin America and the Caribbean,Americas,,,,Kph,2023,2023,8,,45000,45000,705000,705000
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,"Arkansas, Florida, Illinois, Kansas, Louisiana, Missouri, Nebraska,Texas, Oklahoma, Iowa",,,Kph,2023,2023,1,12,,12,2950000,2950000
Meteorological,Storm,Lightning/Thunderstorms,Cambodia,South-eastern Asia,Asia,,,,Kph,2023,2023,,,14100,14100,,
Hydrological,Flood,Flood (General),Ukraine,Eastern Europe,Europe,"Volyn, Dnipropetrovsk, Kyiv, Rivne, Poltava, Cherkasy, Chernihiv, Zhytomyr, Petrishevka ",,,Km2,2023,2023,,,2850,2850,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,"Calabarzon, Mimaropa, Bicol, Davao and Zamboanga Peninsula",,,Kph,2023,2023,,,136149,136149,222,222
Hydrological,Flood,Flood (General),Angola,Sub-Saharan Africa,Africa,"Luanda, Namibe, Lunda Norte, Lunda Sul, Malanje, Cuanza Norte and Moxico",Heavy rains,,Km2,2023,2023,54,450,44000,44450,,
Meteorological,Storm,Tornado,Myanmar,South-eastern Asia,Asia,Aung Myin Kone and Tadau villages (Naypyitaw capital city greater area),,,Kph,2023,2023,8,130,,1280,,
Meteorological,Storm,Tornado,Türkiye,Western Asia,Asia,Pazarcik City (southern Kahramanmaras Province),,,Kph,2023,2023,1,50,504,554,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,"Dickens, Comanche, McLennan, Nolan, Swisher, Taylor, Floyd (Texas); St. Lucie, Nassau, Brevard, Hillsborough, Sumter, Broward, and Indian River (Florida); Effingham, Bryan, Wayne, Terrell, Chatham (Georgia); Oklahoma",,,Kph,2023,2023,,,,,1300000,1300000
Meteorological,Storm,Storm (General),Bangladesh,Southern Asia,Asia,"Netrokona, Sylhet, Sunamganj and Maulbi Bazar",,,Kph,2023,2023,10,,,,,
Meteorological,Storm,Lightning/Thunderstorms,Thailand,South-eastern Asia,Asia,"Chiang Mai, Kamphaeng Phet, Lampang, Lamphun, Nakhon Nayok, Nakhon Si Thammarat, Phayao, Phetchabun, Tak, Ubon Ratchathani, and Nong Khai,",,,Kph,2023,2023,,,22200,22200,,
Meteorological,Storm,Lightning/Thunderstorms,Sri Lanka,Southern Asia,Asia,,,,Kph,2023,2023,,,910,910,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Santa Cruz Cabrália, Ilhéus, Belmonte, Porto Seguro and Itapebi (Bahia state)",Heavy rains,,Km2,2023,2023,,,9348,9348,,
Hydrological,Flood,Flash flood,Kenya,Sub-Saharan Africa,Africa,"Kisumu, Mandera County",Heavy rains,,Km2,2023,2023,,,22500,22500,,
Hydrological,Flood,Flood (General),Uganda,Sub-Saharan Africa,Africa,"Kasese, Rukungiri, Mbale, Kigez, Ntokoro, Kigezi Districts",Heavy rains,,Km2,2023,2023,23,16,1000,1016,,
Hydrological,Flood,Flood (General),Viet Nam,South-eastern Asia,Asia,"Cao Bang, Lao Cai, Yen Bai, Phu Tho, Dien Bien, Tuyen Quang, and Thai Nguyen provinces",Heavy rains,,Km2,2023,2023,,,6540,6540,,
Hydrological,Flood,Flash flood,Pakistan,Southern Asia,Asia,"Khuzdar City/Qusdar (Khuzdar District, central Balochistan), Kech District (southern Balochistan), Lasbela District (southern Balochistan) Mach Town (Kachhi District, central Balochistan); Khyber Pakhtunkhwa Province",Heavy rains,,Km2,2023,2023,12,3,,3,,
Hydrological,Flood,Flood (General),Rwanda,Sub-Saharan Africa,Africa,"Northern, western and southern provinces",Heavy rains,,Km2,2023,2023,131,77,51905,51982,,
Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,Yunnan Province,,5.3,Moment Magnitude,2023,2023,,10,8400,8410,30000,30000
Hydrological,Flood,Flood (General),Italy,Southern Europe,Europe,Fontanelice Municipality (Bologna Province); Castel Bolognese Municipality (Ravenna Province); Forlì-Cesena provinces,Heavy rains,,Km2,2023,2023,2,,500,500,,
Hydrological,Flood,Flood (General),Canada,Northern America,Americas,"Baie-Saint-Paul (Charlevoix Region), Saint-Côme and Sainte-Émélie-de-l'Énergie (Lanaudière Region, south-western Quebec).",Heavy rains,,Km2,2023,2023,2,,1000,1000,,
Geophysical,Earthquake,Ground movement,Japan,Eastern Asia,Asia,Ishikawa,,6.2,Moment Magnitude,2023,2023,1,43,2157,2254,,
Climatological,Wildfire,Forest fire,Canada,Northern America,Americas,"Alberta, British Columbia, Nova Scotia, Ontario, Québec, Saskatchewan",Dry conditions and high winds,,Km2,2023,2023,2,,30000,30000,200000,200000
Hydrological,Flood,Flash flood,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Bushushu, Nyamukubi (South Kivu)",Heavy rains,,Km2,2023,2023,2830,220,50000,50220,10000,10000
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,Jiangxi Province,Heavy rains,,Km2,2023,2023,,,530000,530000,95000,95000
Geophysical,Volcanic activity,Ash fall,Guatemala,Latin America and the Caribbean,Americas,"San Pedro Yepocapa, Chimaltenango, Panimaché I and II villages, El Porvenir and Morelia muncipalities",,,,2023,2023,,,1054,1054,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,"Texas, Nebraska, Missouri, Kansas, Colorado, Illinois, Iowa, Indiana, Kentucky, Tennessee, South Carolina ",,,Kph,2023,2023,1,,,,2200000,2200000
Climatological,Wildfire,Forest fire,Russian Federation,Eastern Europe,Europe,"Tyumen, Kurgan, Omsk",,,Km2,2023,2023,21,,15000,15000,50000,50000
Meteorological,Storm,Storm (General),Sierra Leone,Sub-Saharan Africa,Africa,"Dalakuru Village, Diang Chiefdom and Konadugu; Freetown City area",,,Kph,2023,2023,15,17,,17,,
Hydrological,Flood,Flash flood,Afghanistan,Southern Asia,Asia,Nangarhar Province,Heavy rains,,Km2,2023,2023,4,25,1500,1525,,
Hydrological,Flood,Flood (General),Czechia,Eastern Europe,Europe,,,,Km2,2023,2023,,,,,,
Hydrological,Flood,Flood (General),Italy,Southern Europe,Europe,"Bologna, Ferrara, Forlì-Cesena, Modena, Parma, Ravenna, Reggio Emilia, Rimini;",Storm Minerva,,Km2,2023,2023,15,,46000,46000,9750000,9750000
Meteorological,Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,"Cox’s Bazar, Chattogram, Feni, and Noakhali districts, St Martin Island",,220,Kph,2023,2023,3,12,750000,750012,1000,1000
Meteorological,Storm,Tropical cyclone,India,Southern Asia,Asia,"Mizoram, Tripura, and Manipur states",,,Kph,2023,2023,,,1000,1000,,
Meteorological,Storm,Tropical cyclone,Myanmar,South-eastern Asia,Asia,"Sittwe, Mrauk-U, Kyauktaw, or Minbya (Rakhine state); Chin, Magway, Sagaing, Ayeyarwady, Mandalay states",,300,Kph,2023,2023,148,132,1200000,1200132,2240000,2240000
Hydrological,Flood,Flash flood,Somalia,Sub-Saharan Africa,Africa,Belet Weyne District (Hirshabelle State) Baardheere District (Jubaland State),Heavy rains,,Km2,2023,2023,22,,468000,468000,,
Meteorological,Extreme temperature,Cold wave,Mongolia,Eastern Asia,Asia,"Dornod, Dornogovi, Dundgovi, Govi-Altai, Khentii, Ömnögovi, Sükhbaatar",,,°C,2023,2023,2,,5100,5100,,
Meteorological,Storm,Tropical cyclone,Guam,Micronesia,Oceania,,,295,Kph,2023,2023,2,,100000,100000,4300000,4300000
Meteorological,Storm,Tropical cyclone,Japan,Eastern Asia,Asia,Okinawa,,215,Kph,2023,2023,3,35,,35,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,"Ilocos Region, Cagayan Valley, Central Luzon, Western Visayas, CAR and MIMAROPA.",,,Kph,2023,2023,1,1,30500,30501,,
Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,Asia,,,,Kph,2023,2023,1,,,,,
Hydrological,Mass movement (wet),Avalanche (wet),Pakistan,Southern Asia,Asia,Shounter,,,,2023,2023,11,25,,25,,
Hydrological,Flood,Flood (General),Croatia,Southern Europe,Europe,"Gracac Municipality (Zadar County), Karlovac, Hrvatska Kostajnica",Heavy raons,,Km2,2023,2023,,,177,177,,
Hydrological,Flood,Flood (General),Bosnia and Herzegovina,Southern Europe,Europe,"Novi Grad, Prijedor, Kostajnica, Bihac, Bužim, Sanski Most, Cazin, Velika Kladuša, Kljuc, Bosanska Krupa, Kozarska Dubica and Srbac.",Heavy rains,,Km2,2023,2023,,,10000,10000,,
Geophysical,Earthquake,Ground movement,France,Western Europe,Europe,"La Laigne, Benon, Mauzé-sur-le-Mignon, Saint Hilaire-la-Palud and Cram-Chaban (Nouvelle-Aquitaine Region); Charente-Maritime",,4.8,Moment Magnitude,2023,2023,,2,750,752,445000,445000
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,"Texas, Oklahoma, Kansas, Louisiana, Michigan, Ohio, Mississippi, Nebraska, Wyoming, Colorado and Arkansas",,,Kph,2023,2023,5,135,60,195,3800000,3800000
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,Rio Grande do Sul,,,Km2,2023,2023,17,,11100,11100,205000,205000
Hydrological,Flood,Flood (General),Nepal,Southern Asia,Asia,"Nuwakot, Okhaldhunga, Panchthar, Shankhuwasabha, Taplejung, Dhankuta and Ilam (Koshi province)",Heavy rains,,Km2,2023,2023,36,6,1500,1506,,
Meteorological,Extreme temperature,Heat wave,India,Southern Asia,Asia,"Uttar Pradesh, Bihar, Tripura, Odisha ",,45,°C,2023,2023,179,460,,460,,
Meteorological,Extreme temperature,Heat wave,Pakistan,Southern Asia,Asia,,,49,°C,2023,2023,22,,,,,
Hydrological,Flood,Flood (General),India,Southern Asia,Asia,"Nalbari, Baksa, Lakhimpur, Bajali, Barpet distrcits (Assam);Sikkim",Heavy rains,,Km2,2023,2023,,,500000,500000,,
Meteorological,Storm,Tropical cyclone,India,Southern Asia,Asia,"Barmer, Jalore, Sirohi, Pali, and Rajmasand (Rajasthan); Gujarat ",,125,Kph,2023,2023,7,,10000,10000,,
Meteorological,Storm,Tropical cyclone,Pakistan,Southern Asia,Asia,,,,Kph,2023,2023,1,,,,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,"Dallas, Tarrant, Denton, Ochiltree counties (Texas); Louisiana, Mississippi, Alabama, Georgia, Tennessee, Arkansas, South Carolina and Florida ",,,Kph,2023,2023,3,12,600,612,4100000,4100000
Climatological,Wildfire,Wildfire (General),Kazakhstan,Central Asia,Asia,"Semei Ormany, Abai region",,,Km2,2023,2023,14,,300,300,,
Hydrological,Flood,Flood (General),Cuba,Latin America and the Caribbean,Americas,"Granma, Las Tunas, Santiago de Cuba, and Camagüey ",Heavy rains,,Km2,2023,2023,6,,18500,18500,,
Hydrological,Flood,Flood (General),Haiti,Latin America and the Caribbean,Americas,"Ouest, Sud-Est, Nippes, Grand'Anse, Nord-Ouest, Centre, Sud",Tropical storm ARLENE,,Km2,2023,2023,78,143,225000,225143,420000,420000
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,Leshan City (Sichuan province); Yiliang County (Yunnan province) ,Heavy rains,,Km2,2023,2023,25,,,,,
Hydrological,Flood,Flood (General),Ecuador,Latin America and the Caribbean,Americas,"Atacames, Esmeraldas, Quinindé and Muisne",Heavy rains,,Km2,2023,2023,,,14186,14186,,
Meteorological,Storm,Severe weather,South Africa,Sub-Saharan Africa,Africa,"Phoenix, Inanda, Ntuzuma, KwaMashu, Pinetown, Folweni, and the north of Durban (KwaZulu-Natal Province)",,,Kph,2023,2023,5,,,150,,
Meteorological,Storm,Sand/Dust storm,Iran (Islamic Republic of),Southern Asia,Asia,"Zabol, Zahak, Hamoun, Hirmand and Nimrouz (Sistan and Baluchistan province)",,,Kph,2023,2023,,1050,,1050,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,"Balochistan, Khyber Pakhtunkhwa, and Punjab",Pre-monsoon rain,,Km2,2023,2023,33,48,150,198,,
Geophysical,Volcanic activity,Lava flow,Philippines,South-eastern Asia,Asia,"Bacacay, Camalig, Daraga, Guinobatan, Ligao, Malilipot, Santo Domingo, Tabaco (Albay Province, Bicol Region)",,,,2023,2023,,628,38396,39024,,
Hydrological,Mass movement (wet),Landslide (wet),China,Eastern Asia,Asia,"Wenchuan County, Miansi Municipality and the Weizhou Municipality ((Sichuan Province)",Heavy rains,,,2023,2023,7,,900,900,,
Hydrological,Flood,Flash flood,India,Southern Asia,Asia,"Mandi, Solan and Hamirpur districts (Himachal Pradesh); Uttarakhand, Punjab, NewDelhi, Haryana",Monsoon rains,,Km2,2023,2023,62,,5,5,3000,3000
Meteorological,Storm,Tropical cyclone,Barbados,Latin America and the Caribbean,Americas,,,,Kph,2023,2023,,,179,179,,
Meteorological,Storm,Tropical cyclone,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,,,,Kph,2023,2023,,,150,150,,
Hydrological,Flood,Flood (General),Chile,Latin America and the Caribbean,Americas,"Libertador, Maule, Metropolitana; Valparaíso; Nuble",Heavy rains,,Km2,2023,2023,4,,21673,21673,765000,765000
Meteorological,Extreme temperature,Heat wave,United States of America,Northern America,Americas,"Texas, Louisiana, Florida, Arizona, New Mexico, Kansas, Oklahoma, and southern California",,56.7,°C,2023,2023,14,,,,,
Hydrological,Flood,Flood (General),Guatemala,Latin America and the Caribbean,Americas,"Alta Verapaz, Escuintla, Baja Verapaz, Guatemala, Suchitepéques, Zacapa and Totonicapán Departments",Heavy rains,,Km2,2023,2023,78,5,4400000,4400005,,
Meteorological,Storm,Severe weather,Indonesia,South-eastern Asia,Asia,Batam City (Riau Islands),,,Kph,2023,2023,,7,330,337,,
Hydrological,Flood,Flood (General),Ghana,Sub-Saharan Africa,Africa,"Western, Ashanti and Greater Accra Regions",Heavy rains,,Km2,2023,2023,8,,250,250,,
Meteorological,Storm,Storm (General),United States of America,Northern America,Americas,"Montana, Wyoming, South Dakota, Nebraska, Minnesota, Ohio, Tennessee, Oklahoma, Wyoming, Colorado, Indiana, Kentucky, Arkansas",,,Kph,2023,2023,8,100,,100,5300000,5300000
Geophysical,Earthquake,Ground movement,Indonesia,South-eastern Asia,Asia,"Special Region of Yogyakarta, East and Central Java (Java province) ",,5.8,Moment Magnitude,2023,2023,1,10,1110,1120,,
Hydrological,Flood,Flood (General),Yemen,Western Asia,Asia,"Hajjah, Marib, Hodeidah, Al Bayda, Al Jawf, Sana'a, Amran, Sa’ada, Ibb, Taiz, Dhamar, Shabwa and Al Mahwit governorates ",Heavy rains,,Km2,2023,2023,248,183,308000,308183,,
Biological,Epidemic,Viral disease,Peru,Latin America and the Caribbean,Americas,"Piura, Lambayeque",,,Vaccinated,2023,2023,176,110000,,110000,,
Hydrological,Flood,Flood (General),Dominican Republic,Latin America and the Caribbean,Americas,"Azua, Barahona, Bahoruco, Dajabón, Elías Piña, Espaillat, Independencia, La Vega, Pedernales, Santiago, and Santiago Rodríguez",,,Km2,2023,2023,1,,289083,289083,,
Hydrological,Flood,Flood (General),Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,El Callao City (Bolivar State),,,Km2,2023,2023,12,,112,112,,
Hydrological,Flood,Flood (General),Serbia,Southern Europe,Europe,"Borski, Branicevski, Grad Beograd, Jablanicki, Kolubarski, Macvanski, Moravicki, Nisavski, Pcinjski, Pirotski, Pomoravski, Rasinski, Raski, Sumadijski, Toplicki, Zajecarski, Zlatiborski, Ivanjica, Svilajnac, Para?in, ?uprija, Ku?evo, Lazarevac, Novi Pazar, Despotovac, Lebane, Koceljeva, Varvarin, Zitoradja, ?i?evac, Jagodina, Kragujevac, Vucitrn, Lucani, Krusevac, Mladenovac, Rekovac, Vladimirci, Blace, Požega, Kraljevo, Priboj, Doljevac, Medvedja, Arilje, Vladicin Han, Kosjeric, Arandjelovac, Sokobanja, Sjenica, Boljevac, Prokuplje, and Trstenik",Heavy rains,,Km2,2023,2023,,,15432,15432,,
Meteorological,Storm,Hail,Armenia,Western Asia,Asia,"Lori, Tavush, Syunik, Shirak",,,Kph,2023,2023,,,18000,18000,,
Hydrological,Flood,Flash flood,Georgia,Western Asia,Asia,"Batumi city/municipality (Adjara Autonomous Republic (A/R); Chokhatauri and Lanchkhuti municipalities (Guria Region); Lentekhi municipality (Racha-Lechkhumi); Kvemo Svaneti Region; Gurjaani Municipality (Kakheti Region); Kutaisi, Samtredia and Khoni Municipalities (Imereti Region); Abasha, Zugdidi, Martvili, Senaki, Chkhorotsku and Khobi municipalities (Samegrelo-Zemo Svaneti region); Lentekhi and Gurjaani municipalities",,,Km2,2023,2023,,,350000,350000,,
Hydrological,Flood,Flood (General),Argentina,Latin America and the Caribbean,Americas,"Quilmes (Buenos Aires); Santa Fe, Córdoba, Entre Ríos, Neuquen",,,Km2,2023,2023,,,38000,38000,,
Meteorological,Storm,Storm (General),Gabon,Sub-Saharan Africa,Africa,Haut Ogoue,,,Kph,2023,2023,,,3000,3000,,
Hydrological,Flood,Flash flood,Japan,Eastern Asia,Asia,"Yamaguchi Prefecture (Honshu); Oita Prefecture (Kyushu islands); Kumamoto City (Kumamoto Prefecture); Hiroshima, Yamaguchi, Fukuoka Saga, Oita",Heavy rains,,Km2,2023,2023,6,18,4200,4218,,
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,"Sichuan, Henan, Hunan, Guizhou, Shaanxi and Yunan and the Inner Mongolia Autonomous Region",,,Km2,2023,2023,21,,95000,109000,,
Hydrological,Flood,Flood (General),Thailand,South-eastern Asia,Asia,"Nan, Chanthaburi, Rayong, Krabi, Phang Nga, Trang, Satun and Nakhon Si Thammarat",Monsoonal rains,,Km2,2023,2023,,,7650,7650,,
Biological,Epidemic,Viral disease,Nepal,Southern Asia,Asia,"Bagmati, Lumbini",,,Vaccinated,2023,2023,,600,,600,,
Hydrological,Flood,Flood (General),United States of America,Northern America,Americas,"Vermont, New York, Connecticut, Pennsylvania, Massachusetts, New Jersey, New Hampshire, Missouri, Illinois, Kentucky,Tennessee",Severe storms ,,Km2,2023,2023,10,,,,2200000,2200000
Hydrological,Flood,Flood (General),India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand, Delhi, Bihar, Madyah Pradesh, Maharashtra, Chhattisgarh, Gujarat, Punjab, Karnataka, Assam",Monsoon rains,,Km2,2023,2023,1529,,10250000,10250000,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,"Punjab, Khyber Pakhtunkhwa, Balochistan, Sindh Azad Jammu and Kashmir",Monsoon rain,,Km2,2023,2023,217,320,28855,29175,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Matriz de Camaragibe, Marechal Deodoro, São Miguel dos Milagres, União dos Palmares, Rio Largo, Atalaia, Cajueiro, Murici, and Jacuípe (Alagoas); Pernambuco",Heavy rains,,Km2,2023,2023,14,,20000,20000,,
Hydrological,Flood,Flood (General),Mongolia,Eastern Asia,Asia,"Ulaanbaatar, Selenge, Töv",Heavy rains,,Km2,2023,2023,,,288738,288738,,
Meteorological,Storm,Storm (General),Sri Lanka,Southern Asia,Asia,,,,Kph,2023,2023,,,6631,6631,,
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,Karangasem and Bangli (Bali Province); Lumajang (East Java Province),Heavy rains,,Km2,2023,2023,6,7,510,517,,
Meteorological,Extreme temperature,Heat wave,Albania,Southern Europe,Europe,,,,°C,2023,2023,363,,,,,
Meteorological,Extreme temperature,Heat wave,Austria,Western Europe,Europe,,,,°C,2023,2023,486,,,,,
Meteorological,Extreme temperature,Heat wave,Belgium,Western Europe,Europe,,,,°C,2023,2023,324,,,,,
Meteorological,Extreme temperature,Heat wave,Bulgaria,Eastern Europe,Europe,,,,°C,2023,2023,1670,,,,,
Meteorological,Extreme temperature,Heat wave,Switzerland,Western Europe,Europe,,,,°C,2023,2023,294,,,,,
Meteorological,Extreme temperature,Heat wave,Cyprus,Western Asia,Asia,,,,°C,2023,2023,151,,,,,
Meteorological,Extreme temperature,Heat wave,Czechia,Eastern Europe,Europe,,,,°C,2023,2023,361,,,,,
Meteorological,Extreme temperature,Heat wave,Germany,Western Europe,Europe,,,,°C,2023,2023,6376,,,,,
Meteorological,Extreme temperature,Heat wave,Denmark,Northern Europe,Europe,,,,°C,2023,2023,189,,,,,
Meteorological,Extreme temperature,Heat wave,Spain,Southern Europe,Europe,"Figueres, Catalunya",,45.4,°C,2023,2023,8352,,,,,
Meteorological,Extreme temperature,Heat wave,Estonia,Northern Europe,Europe,,,,°C,2023,2023,103,,,,,
Meteorological,Extreme temperature,Heat wave,Finland,Northern Europe,Europe,,,,°C,2023,2023,138,,,,,
Meteorological,Extreme temperature,Heat wave,France,Western Europe,Europe,,,42.8,°C,2023,2023,2734,,,,,
Meteorological,Extreme temperature,Heat wave,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,°C,2023,2023,1851,,,,,
Meteorological,Extreme temperature,Heat wave,Greece,Southern Europe,Europe,Crete,,44.2,°C,2023,2023,4339,,,,,
Meteorological,Extreme temperature,Heat wave,Croatia,Southern Europe,Europe,,,,°C,2023,2023,561,,,,,
Meteorological,Extreme temperature,Heat wave,Hungary,Eastern Europe,Europe,,,,°C,2023,2023,294,,,,,
Meteorological,Extreme temperature,Heat wave,Ireland,Northern Europe,Europe,,,,°C,2023,2023,60,,,,,
Meteorological,Extreme temperature,Heat wave,Iceland,Northern Europe,Europe,,,,°C,2023,2023,,,,,,
Meteorological,Extreme temperature,Heat wave,Italy,Southern Europe,Europe,"Sardaigne, Sicile, Roe, Bologne, Pascara, Naples",,48.8,°C,2023,2023,12743,,,,,
Meteorological,Extreme temperature,Heat wave,Liechtenstein,Western Europe,Europe,,,,°C,2023,2023,1,,,,,
Meteorological,Extreme temperature,Heat wave,Lithuania,Northern Europe,Europe,,,,°C,2023,2023,247,,,,,
Meteorological,Extreme temperature,Heat wave,Luxembourg,Western Europe,Europe,,,,°C,2023,2023,33,,,,,
Meteorological,Extreme temperature,Heat wave,Latvia,Northern Europe,Europe,,,,°C,2023,2023,58,,,,,
Meteorological,Extreme temperature,Heat wave,Malta,Southern Europe,Europe,,,,°C,2023,2023,70,,,,,
