Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flash flood,Mexico,Latin America and the Caribbean,Americas,Autlan (Jalisco state),Heavy rains,0.0,Km2,2023,2023,11.0,0.0,0.0,0.0,0.0,0.0
Hydrological,Flood,Flood (General),United States of America,Northern America,Americas,"New York city; New Jersey, Connecticut, Texas, Oklahoma, and Arkansas",Heavy rains and storms,0.0,Km2,2023,2023,0.0,0.0,0.0,0.0,0.0,0.0
Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,"Achham, Baitadi, Bajhang and Bajura districts ",0,5.7,Moment Magnitude,2023,2023,1.0,23.0,36250.0,36273.0,0.0,0.0
Hydrological,Flood,Flood (General),Sri Lanka,Southern Asia,Asia,"Western, Southern, Northern, Central, North Western, and Sabaragamuwa Provinces; Kandy and Nuwara-Eliya Districts.",Heavy rians,0.0,Km2,2023,2023,0.0,0.0,244504.0,244504.0,0.0,0.0
Meteorological,Storm,Severe weather,United States of America,Northern America,Americas,"Nebraska, Texas, Oklahoma, Missouri, and Kentucky",0,0.0,Kph,2023,2023,2.0,0.0,0.0,0.0,1600000.0,1600000.0
Meteorological,Storm,Sand/Dust storm,Iran (Islamic Republic of),Southern Asia,Asia,Sistan and Baluchestan Provinces,0,0.0,Kph,2023,2023,3.0,2017.0,0.0,2017.0,0.0,0.0
Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,"Gulran, Injil and Kush districts (Herat province)",0,6.3,Moment Magnitude,2023,2023,1.0,140.0,0.0,140.0,0.0,0.0
Climatological,Wildfire,Wildfire (General),Argentina,Latin America and the Caribbean,Americas,"Catamarca, Jujuy Provinces, Córdoba, Tucumán and San Luis Provinces",0,0.0,Km2,2023,2023,0.0,0.0,800.0,800.0,0.0,0.0
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Rio do Sul, Tubarão, Blumenau, and Lontras municipalities (Santa Catarina state)",Heavy rains,0.0,Km2,2023,2023,0.0,0.0,26509.0,26509.0,1200.0,1200.0
Hydrological,Mass movement (wet),Landslide (wet),Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Lisal City (Mongala Province),Heavy rains,0.0,0,2023,2023,17.0,0.0,0.0,0.0,0.0,0.0
Hydrological,Flood,Flood (General),Nigeria,Sub-Saharan Africa,Africa,Emirates of Dukku and Nafada in Gombe State,Torrential rains,0.0,Km2,2023,2023,0.0,0.0,1336.0,1336.0,0.0,0.0
